
                10.00  105.00    296.0k      1.4M     0.00   185.00   0.0%  63.8%    0.00    0.57   0.05    29.6k    14.1k   0.03   0.4%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


                 1.00    0.00     36.0k      0.0k     0.00     0.00   0.0%   0.0%   72.00    0.00   0.00    36.0k     0.0k   0.00   0.0%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


               240.00    0.00     40.6M      0.0k     0.00     0.00   0.0%   0.0%    0.78    0.00   0.07   173.2k     0.0k   0.22   5.2%


                 0.00    1.00      0.0k      4.0k     0.00     0.00   0.0%   0.0%    0.00    4.00   0.00     0.0k     4.0k   0.00   0.0%


                 0.00   64.00      0.0k      8.4M     0.00     2.00   0.0%   3.0%    0.00    9.62   0.53     0.0k   133.8k   1.31   8.4%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


                 2.00    0.00    200.0k      0.0k     0.00     0.00   0.0%   0.0%   36.00    0.00   0.00   100.0k     0.0k   0.00   0.0%


                11.00    0.00      1.1M      0.0k     0.00     0.00   0.0%   0.0%    0.73    0.00   0.00    98.2k     0.0k   0.00   0.0%


                 0.00    1.00      0.0k      4.0k     0.00     0.00   0.0%   0.0%    0.00    4.00   0.00     0.0k     4.0k   0.00   0.0%


               429.00    0.00     23.6M      0.0k     0.00     0.00   0.0%   0.0%    5.14    0.00   1.98    56.4k     0.0k   0.55  23.6%


               170.00    0.00      6.0M      0.0k     0.00     0.00   0.0%   0.0%   12.21    0.00   1.92    36.0k     0.0k   0.87  14.8%


                19.00    0.00    212.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00    11.2k     0.0k   0.00   0.0%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


                 0.00    1.00      0.0k      4.0k     0.00     0.00   0.0%   0.0%    0.00    4.00   0.00     0.0k     4.0k   0.00   0.0%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


                 0.00    1.00      0.0k      4.0k     0.00     0.00   0.0%   0.0%    0.00    4.00   0.00     0.0k     4.0k   0.00   0.0%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


