
                 7.00   27.00    132.0k    168.0k     0.00    15.00   0.0%  35.7%    0.00    0.00   0.00    18.9k     6.2k   0.00   0.0%


                14.00    0.00      1.4M      0.0k     0.00     0.00   0.0%   0.0%    0.57    0.00   0.00   103.4k     0.0k   0.00   0.0%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


                 1.00    0.00     16.0k      0.0k     0.00     0.00   0.0%   0.0%   68.00    0.00   0.00    16.0k     0.0k   0.00   0.0%


                 4.00    0.00    392.0k      0.0k     0.00     0.00   0.0%   0.0%   17.00    0.00   0.00    98.0k     0.0k   0.00   0.0%


               758.00    1.00    103.7M      4.0k     0.00     0.00   0.0%   0.0%    1.06    4.00   0.54   140.0k     4.0k   0.26  20.0%


              1539.00   44.00    171.4M      8.0M     0.00     1.00   0.0%   2.2%    0.21    0.18   0.09   114.0k   186.8k   0.05   8.4%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


                 2.00    1.00    256.0k      4.0k     0.00     0.00   0.0%   0.0%    4.00    4.00   0.00   128.0k     4.0k   0.00   0.0%


                37.00    0.00      3.8M      0.0k     0.00     0.00   0.0%   0.0%    0.43    0.00   0.00   105.8k     0.0k   0.00   0.0%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


               748.00    0.00     70.8M      0.0k     0.00     0.00   0.0%   0.0%    1.04    0.00   0.17    96.9k     0.0k   0.22  16.8%


               685.00    0.00     63.8M      0.0k     0.00     0.00   0.0%   0.0%    0.42    0.00   0.06    95.4k     0.0k   0.04   2.4%


               702.00    0.00     75.3M      0.0k     0.00     0.00   0.0%   0.0%    0.19    0.00   0.02   109.9k     0.0k   0.02   1.6%


                35.00    0.00      3.3M      0.0k     0.00     0.00   0.0%   0.0%    2.29    0.00   0.00    95.9k     0.0k   0.00   0.0%


                11.00    0.00    968.0k      0.0k     0.00     0.00   0.0%   0.0%    0.73    0.00   0.00    88.0k     0.0k   0.00   0.0%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


                 5.00    0.00    480.0k      0.0k     0.00     0.00   0.0%   0.0%   13.60    0.00   0.00    96.0k     0.0k   0.00   0.0%


                 0.00    1.00      0.0k      4.0k     0.00     0.00   0.0%   0.0%    0.00    4.00   0.00     0.0k     4.0k   0.00   0.0%


                 0.00    0.00      0.0k      0.0k     0.00     0.00   0.0%   0.0%    0.00    0.00   0.00     0.0k     0.0k   0.00   0.0%


